Business Summary Report,
,,,
,
,
Buyer Name,Main Ref. No.,Currency,Limit Amount,Seller Name,Number of Invoices,Total Invoice Amount,Total Payment Amount,Total Invoice Balance
%%C_MAIN_CUS%%nm,IFCSBANK2309003441PCI,,0.00,C010366nm,,0.00,0.00,0.00
C009483nm,IFCSBANK2304000361,USD,"50 000.00",C009482nm,,0.00,"1 000.00",0
C009483nm,IFCSBANK2304000361,USD,"50 000.00",C009482nm,3,"6 000.00",0.00,"6 000.00"
C009483nm,IFCSBANK2304000361,USD,"50 000.00",C009482nm,,0.00,"1 000.00",0
C009483nm,IFCSBANK2304000361,USD,"50 000.00",C009482nm,3,"6 000.00",0.00,"6 000.00"
C009505nm,IFCSBANK2305000361,USD,"100 000.00",C009521nm,3,"6 000.00",0.00,"6 000.00"
C009505nm,IFCSBANK2305000361,USD,"100 000.00",C009521nm,,0.00,"6 000.00",0
C009505nm,IFCSBANK2305003366PCI,,0.00,C009521nm,,0.00,0.00,0.00
C009984nm,IFCSBANK2308000362,USD,"900 000.00",C009983nm,,0.00,0.00,0.00
C009984nm,IFCSBANK2308000061PCA,,0.00,C009983nm,,0.00,0.00,0.00
C009984nm,IFCSBANK2308000062PCA,,0.00,C009983nm,,0.00,0.00,0.00
C009984nm,IFCSBANK2308000363,,0.00,C009983nm,,0.00,0.00,0.00
C009984nm,IFCSBANK2308003370PCI,,0.00,C009983nm,,0.00,0.00,0.00
C009984nm,IFCSBANK2308003371PCI,,0.00,C009983nm,,0.00,0.00,0.00
C009986nm,IFCSBANK2308000361,USD,"3 000.00",C009985nm,,0.00,0.00,0.00
C009986nm,IFCSBANK2308003368PCI,,0.00,C009985nm,,0.00,0.00,0.00
C009993nm,IFCSBANK2308000364,USD,"900 000.00",C009994nm,,0.00,0.00,0.00
C009993nm,IFCSBANK2308000063PCA,,0.00,C009994nm,,0.00,0.00,0.00
C009993nm,IFCSBANK2308003372PCI,,0.00,C009994nm,,0.00,0.00,0.00
C010096nm,IFCSBANK2309000365,USD,0.00,,,0.00,0.00,0.00
C010096nm,IFCSBANK2309000366,USD,"10 000.00",,,0.00,0.00,0.00
C010096nm,IFCSBANK2309003373PCI,,0.00,C010095nm,,0.00,0.00,0.00
C010109nm,IFCSBANK2309000368,USD,"1 000.00",C010108nm,,0.00,0.00,0.00
C010109nm,IFCSBANK2309000065PCA,,0.00,C010108nm,,0.00,0.00,0.00
C010109nm,IFCSBANK2309000066PCA,,0.00,C010108nm,,0.00,0.00,0.00
C010109nm,IFCSBANK2309000367,,0.00,C010108nm,,0.00,0.00,0.00
C010109nm,IFCSBANK2309003375PCI,,0.00,C010108nm,,0.00,0.00,0.00
C010124nm,IFCSBANK2309000067PCA,,0.00,C010124nm,,0.00,0.00,0.00
C010132nm,IFCSBANK2309000068PCA,,0.00,C010132nm,,0.00,0.00,0.00
C010134nm,IFCSBANK2309000069PCA,,0.00,C010134nm,,0.00,0.00,0.00
C010137nm,IFCSBANK2309000070PCA,,0.00,C010136nm,,0.00,0.00,0.00
C010139nm,IFCSBANK2309000071PCA,,0.00,C010138nm,,0.00,0.00,0.00
C010143nm,IFCSBANK2309000072PCA,,0.00,C010142nm,,0.00,0.00,0.00
C010145nm,IFCSBANK2309000073PCA,,0.00,C010144nm,,0.00,0.00,0.00
C010147nm,IFCSBANK2309000074PCA,,0.00,C010146nm,,0.00,0.00,0.00
C010149nm,IFCSBANK2309000075PCA,,0.00,C010148nm,,0.00,0.00,0.00
C010153nm,IFCSBANK2309000076PCA,,0.00,C010152nm,,0.00,0.00,0.00
C010155nm,IFCSBANK2309000077PCA,,0.00,C010154nm,,0.00,0.00,0.00
C010155nm,IFCSBANK2309000369,,0.00,C010154nm,,0.00,0.00,0.00
C010163nm,IFCSBANK2309000078PCA,,0.00,C010162nm,,0.00,0.00,0.00
,,,,,,,,,
C010167nm,IFCSBANK2309000079PCA,,0.00,C010166nm,,0.00,0.00,0.00
C010169nm,IFCSBANK2309000370,USD,"100 000.00",C010168nm,,0.00,0.00,0.00
C010169nm,IFCSBANK2309000080PCA,,0.00,C010168nm,,0.00,0.00,0.00
C010169nm,IFCSBANK2309003377PCI,,0.00,C010168nm,,0.00,0.00,0.00
C010177nm,IFCSBANK2309000371,USD,"100 000.00",C010176nm,,0.00,0.00,0.00
C010177nm,IFCSBANK2309000081PCA,,0.00,C010176nm,,0.00,0.00,0.00
