Baseline Charge Report
Outward Guarantee
,
Reference No,Event Name,Customer ID,Customer Name,Transaction Date,Expiry Date,Charge CCY,Charge Amount,Collecting CCY,Collected Amount,Equal Local Ccy Amount,Outstanding Amount
GT03742BEDV,Postage,C007245,ABC,08/17/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03742BEDV,Postage,C007245,ABC,08/16/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03746BEDV,Guarantee Commission,C007245,ABC,08/17/2022,10/20/2022,USD,24.44,USD,0.00,24.44,24.44
GT03746BEDV,Postage,C007245,ABC,08/17/2022,10/20/2022,USD,20.00,USD,0.00,20.00,20.00
GT03747BEDV,Postage,C007245,ABC,08/17/2022,10/20/2022,USD,20.00,USD,0.00,20.00,20.00
GT03747BEDV,Guarantee Commission,C007245,ABC,08/17/2022,10/20/2022,USD,24.44,USD,0.00,24.44,24.44
GT03748BEDV,Postage,C007245,ABC,08/17/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03748BEDV,Guarantee Commission,C007245,ABC,08/17/2022,,USD,24.44,USD,0.00,24.44,24.44
GT03748BEDV,Postage,C007245,ABC,08/17/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03750BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,24.06,USD,0.00,24.06,24.06
GT03750BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03750BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03750BEDV,Postage,C007245,ABC,02/12/2025,,USD,20.00,USD,0.00,20.00,20.00
GT03751BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03751BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03751BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,24.06,USD,0.00,24.06,24.06
GT03752BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,24.06,USD,0.00,24.06,24.06
GT03752BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03752BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03753BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03753BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,24.06,USD,0.00,24.06,24.06
GT03753BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03753BEDV,Postage,C007245,ABC,01/15/2025,,USD,20.00,USD,0.00,20.00,20.00
GT03753BEDV,Guarantee Commission,C007245,ABC,01/15/2025,,USD,32.08,USD,0.00,32.08,32.08
GT03754BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03754BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03754BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,24.06,USD,0.00,24.06,24.06
GT03755BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03755BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03755BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,24.06,USD,0.00,24.06,24.06
GT03755BEDV,Guarantee Commission,C007245,ABC,08/18/2022,,USD,32.08,USD,0.00,32.08,32.08
GT03755BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03756BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
GT03756BEDV,Postage,C007245,ABC,08/18/2022,,USD,20.00,USD,0.00,20.00,20.00
