Business Summary Report,
,,,
,
,
Applicant Name,Contract Document No,Limit Currency,Limit Amount,Max Loan Percentage,Batch No.,Inspect Institution Name,Total Collateral Value,Available Financing Amount,Financing Balance
,,USD,0.00,0,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,0.00,0.00,0.00,
,,,,,,,0.00,0.00,0.00,
,,,,,,,0.00,0.00,0.00,
,,,,,,,0.00,0.00,0.00,
,,,,,,,0.00,0.00,0.00,
,,,,,,,0.00,0.00,0.00,
,,,,,,,0.00,0.00,0.00,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
Yaya Test Company 01,0001,USD,"1 000 000.00",80,,,,,,
,,,,,REG003425,,0.00,0.00,0.00,
,,,,,REG003424,CIA,"28 500.00","22 800.00",0.00,
,,,,,,,,,,
,,,,,Total:,,"28 500.00","22 800.00",0.00,
Yaya Test Company 02,111,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
SCFRAIN053101,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
SCFRAIN053101,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
Zz Test Company 03,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
ABC Import Company,,USD,0.00,0,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
C003532nm,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
C008077nm,ABLDOC,USD,"1 000 000.00",80,,,,,,
,,,,,REG003443,CIA,"20 000.00","16 000.00","10 000.00",
,,,,,REG003426,CIA,"7 000.00","5 600.00","5 000.00",
,,,,,REG003432,CIA,"1 500.00","1 200.00",0.00,
,,,,,REG003433,CIA,"1 500.00","1 200.00",0.00,
,,,,,REG003428,CIA,"1 500.00","1 200.00",0.00,
,,,,,REG003429,CIA,600.00,480.00,0.00,
,,,,,REG003436,CIA,60.00,48.00,0.00,
,,,,,REG003441,CIA,"22 400.00","17 920.00","6 500.00",
,,,,,REG003427,CIA,"17 500.00","14 000.00",0.00,
,,,,,,,,,,
,,,,,Total:,,"72 060.00","57 648.00","21 500.00",
C008104NM,TEST1,USD,10.00,80,,,,,,
,,,,,REG003516,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
C008105NM,TEST2,USD,22.00,80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
C008108NM,213213131,USD,"22 222.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
SJ Test Company 01,AGM102601,USD,"5 000 000.00",90,,,,,,
,,,,,REG003518,CIA,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
C008253nm,C008253doc,USD,"1 000 000.00",80,,,,,,
,,,,,REG003437,CIA,"13 000.00","10 400.00",0.00,
,,,,,REG003438,CIA,"9 500.00","7 600.00",0.00,
,,,,,REG003439,CIA,"16 900.00","13 520.00",0.00,
,,,,,,,,,,
,,,,,Total:,,"39 400.00","31 520.00",0.00,
CQ Test Company 01,AGM103101,USD,"5 000 000.00",90,,,,,,
,,,,,REG003440,CIA,930.00,837.00,0.00,
,,,,,,,,,,
,,,,,Total:,,930.00,837.00,0.00,
TESTADAM1,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003483,WATER INSPECT,"3 000.00","2 400.00",0.00,
,,,,,REG003442,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,Total:,,"9 000.00","7 200.00",0.00,
SS Test Company 01,AGM111401,USD,"5 000 000.00",90,,,,,,
,,,,,REG003444,CIA,"96 000.00","86 400.00","60 000.00",
,,,,,,,,,,
,,,,,Total:,,"96 000.00","86 400.00","60 000.00",
C008545NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
C008546NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
C008548NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,Total:,,0.00,0.00,0.00,
C008550NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,,,,
C008550NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008551NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008552NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008553NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008554NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008555NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008557NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008558NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008559NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008561NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008562NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008563NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008581NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008589NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008591NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008593NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008594NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,0.00,0.00,0.00,
C008595NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,REG003445,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C008596NM,TEST1,USD,"999 999.00",80,,,,,,
,,,,,REG003446,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C008597NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003447,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C008598NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003448,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C008600NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003449,WATER INSPECT,"5 700.00","4 560.00",0.00,
,,,,,,,,,,
,,,,,,,"5 700.00","4 560.00",0.00,
C008601NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003450,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C008602NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003451,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C008603NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003452,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,REG003453,,"1 500.00","1 200.00",0.00,
,,,,,,,,,,
,,,,,,,"7 500.00","6 000.00","3 200.00",
C008623NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003454,WATER INSPECT,"3 000.00","2 400.00",0.00,
,,,,,,,,,,
,,,,,,,"3 000.00","2 400.00",0.00,
C008624NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003455,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C008625NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003456,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C008627NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003457,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C008635NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003458,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C008637NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003459,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C008785NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003460,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009093NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003461,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C009094NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003462,WATER INSPECT,"6 000.00","4 800.00","3 200.00",
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00","3 200.00",
C009095NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003463,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009334NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003464,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009335NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003465,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009336NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003466,WATER INSPECT,"3 000.00","2 400.00",0.00,
,,,,,,,,,,
,,,,,,,"3 000.00","2 400.00",0.00,
C009337NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003467,WATER INSPECT,"3 000.00","2 400.00",0.00,
,,,,,,,,,,
,,,,,,,"3 000.00","2 400.00",0.00,
C009338NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,,,,
C009338NM,TEST1,USD,"99 999.00",80,,,,,,
,,,,,REG003468,WATER INSPECT,"6 000.00","4 800.00",0.00,
,,,,,,,,,,
,,,,,,,"6 000.00","4 800.00",0.00,
C009716reg,TEST1,USD,"99 999.00",80,,,,,,
,,,,,,,0.00,0.00,0.00,
