Invoice Settlement Report,
,Domestic Factoring,,
,
,
Seller Name,Agreement Document No,Currency,Amount,Buyer Name,Invoice Number,Invoice Amount,Invoice Due Date,Settlement Date,Settlement Amount,Invoice Balance
DFCUST01,,,,,,,,,,,
,DOC01,USD,"100 000.00",,,,,,,,
,,,,DFBUYR01,,,,,,,
,,,,,DFINV07205591,"1 000.00",08/06/2024,05/27/2024,"1 000.00",0.00,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Subtotal,1,"1 000.00",,,"1 000.00",0.00,
,,,,,,,,,,,
,,,,Total,1,"1 000.00",,,"1 000.00",0.00,
DOCSDF01,,,,,,,,,,,
,DOMFDOC01,USD,"50 000.00",,,,,,,,
,,,,DOCSDF02,,,,,,,
,,,,,DFINV09210002,"5 000.00",06/25/2024,06/24/2024,"5 000.00",0.00,
,,,,,DFINV09210004,"5 000.00",06/25/2024,06/24/2024,"5 000.00",0.00,
,,,,,DFINV09210001,"5 000.00",06/25/2024,06/24/2024,"5 000.00",0.00,
,,,,,DFINV09210003,"5 000.00",06/25/2024,06/24/2024,"5 000.00",0.00,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Subtotal,4,"20 000.00",,,"20 000.00",0.00,
,,,,,,,,,,,
,,,,Total,4,"20 000.00",,,"20 000.00",0.00,
,,,,,,,,,,,
********** END OF REPORT **********
