Business Summary Report,
,,,
,
,
Seller Name,Agreement Document No,Main Ref. No.,Currency,Limit Amount,Buyer Name,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance
ABC MANUFACTURING COMPANY,ABCAGM01,EFCSBANK2407000145,USD,"5 000 000.00",CB APPAREL,Active,9,"21 000.00","21 000.00",0.00,0.00,0.00
ABC MANUFACTURING COMPANY,ABCAGM01,EFCSBANK2407005555PPF,USD,"5 000 000.00",CB APPAREL,,0,0.00,0.00,0.00,0.00,0.00
ABC MANUFACTURING COMPANY,,EFCSBANK2407000139PCA,,0.00,CB APPAREL,,0,0.00,0.00,0.00,0.00,0.00
ABC MANUFACTURING COMPANY,ABCAGM01,EFCSBANK2407005553PPF,,0.00,CB APPAREL,,0,0.00,0.00,0.00,0.00,0.00
ABC MANUFACTURING COMPANY,ABCAGM01,EFCSBANK2407005554PPF,,0.00,CB APPAREL,,0,0.00,0.00,0.00,0.00,0.00
ABC MANUFACTURING COMPANY,,EFCSBANK2407005685SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
ABC MANUFACTURING COMPANY,ABCAGM01,EFCSBANK2407006175,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
BOLTS N NUTS,AGM005,EFCSBANK2406005543PPF,USD,"400 000.00",168 HARDWARE,,0,0.00,0.00,0.00,0.00,0.00
BOLTS N NUTS,,EFCSBANK2406005544PPF,USD,"400 000.00",168 HARDWARE,,0,0.00,0.00,0.00,0.00,0.00
BOLTS N NUTS,,EFCSBANK2406005681SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009482nm,C009482doc,EFCSBANK2304005471PPF,USD,"50 000.00",C009483nm,,0,0.00,0.00,0.00,0.00,0.00
C009482nm,C009482doc,EFCSBANK2305000012,USD,"50 000.00",C009483nm,Active,8,"21 000.00","21 000.00","16 800.00",0.00,0.00
C009482nm,,EFCSBANK2304005490SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009482nm,C009482doc,EFCSBANK2305005989,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009502nm,,EFCSBANK2304005491SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009521nm,C009521doc,EFCSBANK2305000013,USD,"100 000.00",C009505nm,Active,3,"6 000.00",0.00,0.00,"4 800.00",0.00
C009521nm,C009521doc,EFCSBANK2305005472PPF,USD,"100 000.00",C009505nm,,0,0.00,0.00,0.00,0.00,0.00
C009521nm,,EFCSBANK2305003367PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009521nm,,EFCSBANK2305005492SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009521nm,C009521doc,EFCSBANK2305005991,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009952nm,,EFCSBANK2308000018PCA,,0.00,C006631NM,,0,0.00,0.00,0.00,0.00,0.00
C009952nm,,EFCSBANK2308005494SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009958nm,111222,EFCSBANK2308000012,USD,"99 999.00",C009957nm,Active,8,"70 000.00","70 000.00","28 000.00",0.00,0.00
C009958nm,111222,EFCSBANK2308005475PPF,USD,"99 999.00",C009957nm,,0,0.00,0.00,0.00,0.00,0.00
C009958nm,111222,EFCSBANK2308000013,,0.00,C006631NM,Active,0,0.00,0.00,0.00,0.00,0.00
C009958nm,,EFCSBANK2308000019PCA,,0.00,C009958nm,,0,0.00,0.00,0.00,0.00,0.00
C009958nm,,EFCSBANK2308000020PCA,,0.00,C009957nm,,0,0.00,0.00,0.00,0.00,0.00
C009958nm,111222,EFCSBANK2308005473PPF,,0.00,C009957nm,,0,0.00,0.00,0.00,0.00,0.00
C009958nm,,EFCSBANK2308005495SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009958nm,111222,EFCSBANK2308006009,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009968nm,111222,EFCSBANK2308000014,USD,"898 880.00",C009969nm,Active,6,"105 000.00","105 000.00",0.00,0.00,0.00
C009968nm,,EFCSBANK2308000021PCA,,0.00,C009969nm,,0,0.00,0.00,0.00,0.00,0.00
C009968nm,111222,EFCSBANK2308005476PPF,,0.00,C009969nm,,0,0.00,0.00,0.00,0.00,0.00
C009968nm,,EFCSBANK2308005496SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009968nm,111222,EFCSBANK2308006010,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009970nm,,EFCSBANK2308000022PCA,,0.00,C009971nm,,0,0.00,0.00,0.00,0.00,0.00
C009970nm,,EFCSBANK2308005497SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009976NM,111222,EFCSBANK2308000015,USD,"10 000.00",C009977NM,Active,8,"140 000.00","105 000.00",0.00,"28 000.00",0.00
C009976NM,111222,EFCSBANK2308005478PPF,USD,"10 000.00",C009977NM,,0,0.00,0.00,0.00,0.00,0.00
C009976NM,111222,EFCSBANK2308005479PPF,USD,"10 000.00",C009977NM,,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
C009976NM,111222,EFCSBANK2308005480PPF,USD,"10 000.00",C009977NM,,0,0.00,0.00,0.00,0.00,0.00
C009976NM,,EFCSBANK2308000023PCA,,0.00,C009977NM,,0,0.00,0.00,0.00,0.00,0.00
C009976NM,111222,EFCSBANK2308005477PPF,,0.00,C009977NM,,0,0.00,0.00,0.00,0.00,0.00
C009976NM,,EFCSBANK2308005498SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009976NM,111222,EFCSBANK2308006011,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009985nm,C009985DOC,EFCSBANK2308005481PPF,USD,"2 000.00",C009986nm,,0,0.00,0.00,0.00,0.00,0.00
C009985nm,,EFCSBANK2308003369PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009985nm,,EFCSBANK2308005500SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C009985nm,C009985DOC,EFCSBANK2308006012,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010050nm,,EFCSBANK2308005501SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010052nm,,EFCSBANK2308005502SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010055nm,,EFCSBANK2308005503SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010057nm,,EFCSBANK2308005504SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010059nm,,EFCSBANK2308000025PCA,,0.00,C010058nm,,0,0.00,0.00,0.00,0.00,0.00
C010059nm,,EFCSBANK2308005505SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010065nm,,EFCSBANK2309000026PCA,,0.00,C010064nm,,0,0.00,0.00,0.00,0.00,0.00
C010065nm,,EFCSBANK2309005506SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010071nm,,EFCSBANK2309005507SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010073nm,,EFCSBANK2309005508SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010075nm,,EFCSBANK2309005509SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010077nm,,EFCSBANK2309005510SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010079nm,,EFCSBANK2309005511SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010081nm,,EFCSBANK2309005512SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010083nm,,EFCSBANK2309005513SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010083nm,111222,EFCSBANK2309006016,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010085nm,,EFCSBANK2309005514SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010087nm,,EFCSBANK2309005515SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010087nm,111222,EFCSBANK2309006017,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010091nm,,EFCSBANK2309005516SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010091nm,111222,EFCSBANK2309006018,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010093nm,,EFCSBANK2309005517SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010093nm,111222,EFCSBANK2309006019,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010095nm,111222,EFCSBANK2309000017,USD,0.00,C010096nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010095nm,,EFCSBANK2309003374PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010095nm,111222,EFCSBANK2309006020,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010095nm,,IFCSBANK2309000064PCA,,0.00,C010096nm,,0,0.00,0.00,0.00,0.00,0.00
C010108nm,111222,EFCSBANK2309000018,USD,"1 000.00",C010109nm,Active,3,0.00,0.00,0.00,0.00,0.00
C010108nm,,EFCSBANK2309000027PCA,,0.00,C010109nm,,0,0.00,0.00,0.00,0.00,0.00
C010108nm,,EFCSBANK2309003376PCI,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010108nm,111222,EFCSBANK2309005482PPF,,0.00,C010109nm,,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
C010108nm,,EFCSBANK2309005519SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010108nm,111222,EFCSBANK2309006021,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010112nm,,EFCSBANK2309005520SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010116nm,,EFCSBANK2309000029PCA,,0.00,C010116nm,,0,0.00,0.00,0.00,0.00,0.00
C010116nm,,EFCSBANK2309005521SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010118nm,,EFCSBANK2309000030PCA,,0.00,C010118nm,,0,0.00,0.00,0.00,0.00,0.00
C010118nm,,EFCSBANK2309005522SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010120nm,,EFCSBANK2309000031PCA,,0.00,C010120nm,,0,0.00,0.00,0.00,0.00,0.00
C010120nm,,EFCSBANK2309005523SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010122nm,,EFCSBANK2309000032PCA,,0.00,C010122nm,,0,0.00,0.00,0.00,0.00,0.00
C010122nm,,EFCSBANK2309005524SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010124nm,,EFCSBANK2309000033PCA,,0.00,C010124nm,,0,0.00,0.00,0.00,0.00,0.00
C010124nm,,EFCSBANK2309005525SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010124nm,111222,EFCSBANK2309006023,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010126nm,,EFCSBANK2309000034PCA,,0.00,C010126nm,,0,0.00,0.00,0.00,0.00,0.00
C010126nm,,EFCSBANK2309005526SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010126nm,111222,EFCSBANK2309006024,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010129nm,,EFCSBANK2309000035PCA,,0.00,C010129nm,,0,0.00,0.00,0.00,0.00,0.00
C010132nm,,EFCSBANK2309000036PCA,,0.00,C010132nm,,0,0.00,0.00,0.00,0.00,0.00
C010132nm,,EFCSBANK2309005528SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010132nm,111222,EFCSBANK2309006025,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010134nm,,EFCSBANK2309000037PCA,,0.00,C010134nm,,0,0.00,0.00,0.00,0.00,0.00
C010134nm,,EFCSBANK2309005529SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010134nm,111222,EFCSBANK2309006026,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010136nm,,EFCSBANK2309000038PCA,,0.00,C010137nm,,0,0.00,0.00,0.00,0.00,0.00
C010136nm,,EFCSBANK2309005530SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010136nm,111222,EFCSBANK2309006027,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010138nm,,EFCSBANK2309000039PCA,,0.00,C010139nm,,0,0.00,0.00,0.00,0.00,0.00
C010138nm,,EFCSBANK2309005531SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010138nm,111222,EFCSBANK2309006028,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010142nm,,EFCSBANK2309000040PCA,,0.00,C010143nm,,0,0.00,0.00,0.00,0.00,0.00
C010142nm,,EFCSBANK2309005532SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010142nm,111222,EFCSBANK2309006029,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010144nm,,EFCSBANK2309000041PCA,,0.00,C010145nm,,0,0.00,0.00,0.00,0.00,0.00
C010144nm,,EFCSBANK2309005533SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010144nm,111222,EFCSBANK2309006030,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010146nm,,EFCSBANK2309000042PCA,,0.00,C010147nm,,0,0.00,0.00,0.00,0.00,0.00
C010146nm,,EFCSBANK2309005534SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010146nm,111222,EFCSBANK2309006031,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010148nm,,EFCSBANK2309000043PCA,,0.00,C010149nm,,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
C010148nm,,EFCSBANK2309005535SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010148nm,111222,EFCSBANK2309006033,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010150nm,,EFCSBANK2309005536SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010152nm,,EFCSBANK2309000044PCA,,0.00,C010153nm,,0,0.00,0.00,0.00,0.00,0.00
C010152nm,,EFCSBANK2309005537SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010152nm,111222,EFCSBANK2309006034,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010154nm,111222,EFCSBANK2309000020,USD,0.00,C010155nm,Active,0,0.00,0.00,0.00,0.00,0.00
C010154nm,,EFCSBANK2309000045PCA,,0.00,C010155nm,,0,0.00,0.00,0.00,0.00,0.00
C010154nm,,EFCSBANK2309005538SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010154nm,111222,EFCSBANK2309006035,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010156nm,,EFCSBANK2309005539SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
C010162nm,,EFCSBANK2309000046PCA,,0.00,C010163nm,,0,0.00,0.00,0.00,0.00,0.00
C010162nm,,EFCSBANK2309005540SIF,,0.00,,,0,0.00,0.00,0.00,0.00,0.00
