Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,,,,,,,,,
0706002,20230726002,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009890nm,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
20230222BY,20230222No001,USD,"8 000.00",,,,,,,,,,
,,,,,20230222SP,Active,2,"11 000.00","1 000.00",0.00,110.00,10.00,
,,,,,,,,,,,,,
,,,,,Total:,,2,"11 000.00","1 000.00",0.00,110.00,10.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ABC Import Company,AGM001,USD,"8 000 000.00",,,,,,,,,,
,,,,,TEST COMPANY,Active,,"520 000.00","260 000.00","208 000.00","128 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,,"520 000.00","260 000.00","208 000.00","128 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ADAM TEST01,C003167,USD,"1 000 000.00",,,,,,,,,,
,,,,,Customer Name 3230001,Active,1,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"20 000.00",0.00,0.00,"16 000.00",0.00,
ADAM TEST01,C003167-1,CNY,"1 000 000.00",,,,,,,,,,
,,,,,Zz Test Company 03,Active,1,"10 000.00",0.00,0.00,"9 000.00",0.00,
,,,,,Customer Name 3230001,Active,2,"40 000.00",0.00,0.00,"36 000.00",0.00,
,,,,,Customer Name 3230001,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,3,"50 000.00",0.00,0.00,"45 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BL Test Company 01,AGM092801,USD,"2 800 000.00",POOL,,,,,,,,,
,,,,,BL Test Company 04,Active,34,"638 012.00","486 012.00","109 710.80","325 000.00","325 000.00",
,,,,,,,,,,,,,
,,,,,Total:,,34,"638 012.00","486 012.00","109 710.80","325 000.00","325 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BSNL,SCFUS2204047,USD,"999 999 999 990.00",,,,,,,,,,
,,,,,vijayan,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007249NM,C007249,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Yaya Test Company 02,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007250NAME,AGRDOC-PF-C007250,USD,"100 000.00",,,,,,,,,,
,,,,,C007251NAME,Active,2,"100 000.00","60 000.00",0.00,"63 000.00","33 000.00",
,,,,,,,,,,,,,
,,,,,Total:,,2,"100 000.00","60 000.00",0.00,"63 000.00","33 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007252NM,C007252,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,0.00,"-3 000.00",0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,5,0.00,"-3 000.00",0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007253NM,C007253,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"6 000.00","-2 000.00","-1 600.00","3 400.00","3 400.00",
,,,,,,,,,,,,,
,,,,,Total:,,5,"6 000.00","-2 000.00","-1 600.00","3 400.00","3 400.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007254NM,C007254,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007256NM,C007256,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,SMBC PF Counter 2,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007257NM,C007257,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,6,"-5 080.00","-15 080.00","-1 600.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,Total:,,6,"-5 080.00","-15 080.00","-1 600.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007259NM,C007259,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"6 000.00","-2 000.00","-1 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,5,"6 000.00","-2 000.00","-1 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007269NM,C007269,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007270NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007271NM,232727,USD,"1 000 000.00",,,,,,,,,,
