Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,,,,,,,,,
2311233,SCFUS2406175,USD,"9 999 999 999.00",,,,,,,,,,
,,,,,Counter Name OP03,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ABC Export Company,C011505doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,XYZ Import Company,Active,56,"523 200.00","352 200.00","281 760.00","136 800.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,56,"523 200.00","352 200.00","281 760.00","136 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ABC Import Company,AGM001,USD,"100 000.00",,,,,,,,,,
,,,,,TEST COMPANY,Active,8,"80 000.00","29 900.00","27 000.00","45 000.00","9 000.00",
,,,,,Yaya Test Company 02,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,8,"80 000.00","29 900.00","27 000.00","45 000.00","9 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BL Test Company 01,AGM090701,USD,"97 000 000.00",,,,,,,,,,
,,,,,BL Test Company 02,Active,15,"100 000.00","100 000.00","80 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,15,"100 000.00","100 000.00","80 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007075NM,zoe001,USD,"10 000.00",,,,,,,,,,
,,,,,ABC Import Company,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,FRTGRTG,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007095NM,zoe002,EUR,"10 000.00",,,,,,,,,,
,,,,,ABC Import Company,Active,4,"2 000.00","2 000.00","1 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,4,"2 000.00","2 000.00","1 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007289NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007295NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007305NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007310NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007313NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007314NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,3,"60 000.00","60 000.00","46 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007315NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007316NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007318NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007319NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007320NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"2 999 540.00","2 999 540.00","2 399 632.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"2 999 540.00","2 999 540.00","2 399 632.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007321NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,1,"3 000 000.00","3 000 000.00","2 400 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"3 000 000.00","3 000 000.00","2 400 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007322NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,3,"60 000.00","60 000.00","48 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,3,"60 000.00","60 000.00","48 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007345NM,zoe003,USD,"1 000 000.00",,,,,,,,,,
,,,,,ABC Import Company,Active,1,"8 200.00","8 200.00","7 380.00",0.00,0.00,
,,,,,FRTGRTG,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,Total:,,1,"8 200.00","8 200.00","7 380.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007346NM,AGM001,USD,"9 000 000 000.00",,,,,,,,,,
,,,,,C007339NM,Active,2,"30 000.00","30 000.00",0.00,"24 000.00","24 000.00",
,,,,,,,,,,,,,
,,,,,Total:,,2,"30 000.00","30 000.00",0.00,"24 000.00","24 000.00",
