Invoice Settlement Report,
,Import Factoring,,
,
,
Buyer Name,Agreement Document No,Currency,Amount,Seller Name,Invoice Number,Invoice Amount,Invoice Due Date,Settlement Date,Settlement Amount,Invoice Balance
C010353nm,,,,,,,,,,,
,,USD,"100 000.00",C010352nm,,,,,,,
,,,,,Inv20230918033428,0.00,09/25/2023,09/18/2023,"2 000.00",0.00,
,,,,,Inv20230918033400,0.00,09/25/2023,09/18/2023,"1 000.00",0.00,
,,,,,Inv20230918033455,0.00,09/25/2023,09/18/2023,"3 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C010356nm,,,,,,,,,,,
,,USD,"100 000.00",C010355nm,,,,,,,
,,,,,Inv20230918042309,0.00,09/25/2023,09/18/2023,"1 000.00",0.00,
,,,,,Inv20230918042336,0.00,09/25/2023,09/18/2023,"2 000.00",0.00,
,,,,,Inv20230918042404,0.00,09/25/2023,09/18/2023,"3 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C010367nm,,,,,,,,,,,
,,USD,"100 000.00",C010366nm,,,,,,,
,,,,,Inv20230919045048,0.00,09/26/2023,09/19/2023,"2 000.00",0.00,
,,,,,Inv20230919045115,0.00,09/26/2023,09/19/2023,"3 000.00",0.00,
,,,,,Inv20230919045020,0.00,09/26/2023,09/19/2023,"1 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C010452nm,,,,,,,,,,,
,,USD,"100 000.00",C010451nm,,,,,,,
,,,,,Inv20230920045335,0.00,09/27/2023,09/20/2023,"1 000.00",0.00,
,,,,,Inv20230920045434,0.00,09/27/2023,09/20/2023,"3 000.00",0.00,
,,,,,Inv20230920045404,0.00,09/27/2023,09/20/2023,"2 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C010634nm,,,,,,,,,,,
,,USD,"100 000.00",C010633nm,,,,,,,
,,,,,Inv20231009025116,0.00,10/16/2023,10/09/2023,"3 000.00",0.00,
,,,,,Inv20231009025048,0.00,10/16/2023,10/09/2023,"2 000.00",0.00,
,,,,,Inv20231009025020,0.00,10/16/2023,10/09/2023,"1 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C010792nm,,,,,,,,,,,
,,USD,"100 000.00",C010791nm,,,,,,,
,,,,,Inv20231019041119,0.00,10/26/2023,10/19/2023,"2 000.00",0.00,
,,,,,Inv20231019041052,0.00,10/26/2023,10/19/2023,"1 000.00",0.00,
,,,,,Inv20231019041147,0.00,10/26/2023,10/19/2023,"3 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C010873nm,,,,,,,,,,,
,,USD,"100 000.00",C010872nm,,,,,,,
,,,,,Inv20231023035520,0.00,10/30/2023,10/23/2023,"3 000.00",0.00,
,,,,,Inv20231023035425,0.00,10/30/2023,10/23/2023,"1 000.00",0.00,
,,,,,Inv20231023035452,0.00,10/30/2023,10/23/2023,"2 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C011048nm,,,,,,,,,,,
,,USD,"100 000.00",C011047nm,,,,,,,
,,,,,Inv20231109094942,0.00,11/16/2023,11/09/2023,"3 000.00",0.00,
,,,,,Inv20231109094846,0.00,11/16/2023,11/09/2023,"1 000.00",0.00,
,,,,,Inv20231109094914,0.00,11/16/2023,11/09/2023,"2 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C011091nm,,,,,,,,,,,
,,USD,"10 000.00",C011090nm,,,,,,,
,,,,,Inv20231116094628,0.00,11/23/2023,11/16/2023,"2 000.00",0.00,
,,,,,Inv20231116094600,0.00,11/23/2023,11/16/2023,"1 000.00",0.00,
,,,,,Inv20231116094655,0.00,11/23/2023,11/16/2023,"3 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C011093nm,,,,,,,,,,,
,,USD,"10 000.00",C011092nm,,,,,,,
,,,,,Inv20231116102357,0.00,11/23/2023,11/16/2023,"2 000.00",0.00,
,,,,,Inv20231116102329,0.00,11/23/2023,11/16/2023,"1 000.00",0.00,
,,,,,Inv20231116102424,0.00,11/23/2023,11/16/2023,"3 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C011095nm,,,,,,,,,,,
,,USD,"10 000.00",C011094nm,,,,,,,
,,,,,Inv20231116113725,0.00,11/23/2023,11/16/2023,"2 000.00",0.00,
,,,,,Inv20231116113752,0.00,11/23/2023,11/16/2023,"3 000.00",0.00,
,,,,,Inv20231116113657,0.00,11/23/2023,11/16/2023,"1 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C011129nm,,,,,,,,,,,
,,USD,"100 000.00",C011128nm,,,,,,,
,,,,,Inv20231117043701,0.00,11/24/2023,11/17/2023,"3 000.00",0.00,
,,,,,Inv20231117043605,0.00,11/24/2023,11/17/2023,"1 000.00",0.00,
,,,,,Inv20231117043633,0.00,11/24/2023,11/17/2023,"2 000.00",0.00,
,,,,,,,,,,,
,,,,Total,3,0.00,,,"6 000.00",0.00,
C011159nm,,,,,,,,,,,
,,USD,"100 000.00",C011158nm,,,,,,,
,,,,,Inv20231122094653,0.00,11/29/2023,11/22/2023,100.00,898.00,
,,,,,Inv20231122094721,0.00,11/29/2023,11/22/2023,"1 000.00",998.00,
,,,,,Inv20231122094749,0.00,11/29/2023,11/22/2023,"1 000.00","1 998.00",
,,,,,,,,,,,
,,,,Total,3,0.00,,,"2 100.00","3 894.00",
,,,,,,,,,,,
********** END OF REPORT **********
